Dt. Negociação,Conta,Ativo,Preço,Quantidade Compra,Quantidade Venda,Financeiro Compra,Financeiro Venda,,Ativo,Compra ,Quantidade,Venda,Quantidade,Saldo Investimento,Saldo Quantidade,Valor Atual,Saldo Atual
30/08/2017,166150,KNRI11,"R$ 151,81","1,00",0,"R$ 151,81","R$ 0,00",,,,,,,,,,
30/08/2017,166150,KNRI11,"R$ 151,81","1,00",0,"R$ 151,81","R$ 0,00",,,,,,,,,,
30/08/2017,166150,KNRI11,"R$ 151,81","1,00",0,"R$ 151,81","R$ 0,00",,,,,,,,,,
30/08/2017,166150,KNRI11,"R$ 151,81","1,00",0,"R$ 151,81","R$ 0,00",,,,,,,,,,
30/08/2017,166150,KNRI11,"R$ 151,81","1,00",0,"R$ 151,81","R$ 0,00",,,,,,,,,,
30/08/2017,166150,KNRI11,"R$ 151,81","2,00",0,"R$ 303,62","R$ 0,00",,,,,,,,,,
30/08/2017,166150,KNRI11,"R$ 151,81","1,00",0,"R$ 151,81","R$ 0,00",,,,,,,,,,
30/08/2017,166150,KNRI11,"R$ 151,81","1,00",0,"R$ 151,81","R$ 0,00",,,,,,,,,,
30/08/2017,166150,KNRI11,"R$ 151,81","1,00",0,"R$ 151,81","R$ 0,00",,,,,,,,,,
30/08/2017,166150,KNRI11,"R$ 151,81","1,00",0,"R$ 151,81","R$ 0,00",,,,,,,,,,
05/10/2017,166150,WEGE3,"R$ 22,66","100,00",0,"R$ 2.266,00","R$ 0,00",,,,,,,,,,
17/01/2018,166150,BOVA11,"R$ 77,40","100,00",0,"R$ 7.740,00","R$ 0,00",,,,,,,,,,
28/05/2018,166150,PETR4,"R$ 18,19","100,00",0,"R$ 1.819,00","R$ 0,00",,,,,,,,,,
25/07/2018,166150,WEGE3,"R$ 18,98","100,00",0,"R$ 1.898,00","R$ 0,00",,,,,,,,,,
29/10/2018,166150,ITSA3,"R$ 11,62","100,00",0,"R$ 1.162,00","R$ 0,00",,,,,,,,,,
29/10/2018,166150,WEGE3,"R$ 18,08","100,00",0,"R$ 1.808,00","R$ 0,00",,,,,,,,,,
11/01/2019,166150,BRCR11,"R$ 103,64","0,00",3,"R$ 0,00","R$ 310,92",,,,,,,,,,
11/01/2019,166150,BRCR11,"R$ 103,64","0,00",2,"R$ 0,00","R$ 207,28",,,,,,,,,,
11/01/2019,166150,BRCR11,"R$ 103,64","0,00",1,"R$ 0,00","R$ 103,64",,,,,,,,,,
11/01/2019,166150,BRCR11,"R$ 103,64","0,00",1,"R$ 0,00","R$ 103,64",,,,,,,,,,
11/01/2019,166150,BRCR11,"R$ 103,64","0,00",12,"R$ 0,00","R$ 1.243,68",,,,,,,,,,
11/01/2019,166150,BRCR11,"R$ 103,64","0,00",1,"R$ 0,00","R$ 103,64",,,,,,,,,,
11/01/2019,166150,BRCR11,"R$ 103,64","0,00",25,"R$ 0,00","R$ 2.591,00",,,,,,,,,,
11/01/2019,166150,BRCR11,"R$ 103,64","0,00",5,"R$ 0,00","R$ 518,20",,,,,,,,,,
11/01/2019,166150,BRCR11,"R$ 103,64","0,00",10,"R$ 0,00","R$ 1.036,40",,,,,,,,,,
14/01/2019,166150,FIIP11B,"R$ 191,60","7,00",0,"R$ 1.341,20","R$ 0,00",,,,,,,,,,
14/01/2019,166150,FIIP11B,"R$ 191,60","20,00",0,"R$ 3.832,00","R$ 0,00",,,,,,,,,,
